연번,업종,상호,소재지,데이터기준일자
1,일반,송백농원캠핑장,경상남도 양산시 상북면 외석길 76-26,2022-06-01
2,일반,대운산 자연휴양림 야영장,경상남도 양산시 탑골길 208-124,2022-06-01
3,일반,파래소캠핑장,경상남도 양산시 원동면 청수골길 43-21,2022-06-01
4,일반,무릉도원,경상남도 양산시 원동면 어영길 170,2022-06-01
5,일반,사지목 나무그늘,경상남도 양산시 원동면 늘밭로 201,2022-06-01
6,일반,원동자연휴양림,경상남도 양산시 원동면 늘밭로 69,2022-06-01
7,일반,천태산오토캠핑장,경상남도 양산시 어영길 263-14,2022-06-01
8,일반,아 름 빌,경상남도 양산시 어영길 204,2022-06-01
9,일반,캠핑라운드,경상남도 양산시 구소석5길 20,2022-06-01
10,일반,포시즌,경상남도 양산시 원동면 원리 49-8,2022-06-01
11,일반,소석힐링캠핑장,경상남도 양산시 상북면 소석리 163,2022-06-01
12,일반,캠프라임,경상남도 양산시 원동면 원동로 1837-2,2022-06-01
13,일반,청수가든,경상남도 양산시 원동면 영포리 713-1,2022-06-01
14,일반,캠프포레,경상남도 양산시 원동면 선리 6-12,2022-06-01
15,일반,라라캠핑장,경상남도 양산시 원동로 1899-30,2022-06-01
16,일반,㈜백동소풍가는길,경상남도 양산시 백동길 128,2022-06-01
17,자동차,황산공원 캠핑장,경상남도 양산시 물금리 225-1,2022-06-01
