연번,펜션명,도로명 주소,지번 주소,전화번호
1,꿈꾸는새재,문경시 문경읍 새재2길 18,문경시 문경읍 상초리 288-8 ,054-571-7776
2,산중모텔펜션,문경시 문경읍 새재2길 36,문경시 문경읍 상초리 288-2 ,054-571-7973
3,해가빛,문경시 농암면 청화로 551-2,문경시 농암면 내서리 273 ,054-571-8998
4,문경새재국민여가캠핑장,문경시 문경읍 새재1길 47,문경시 문경읍 하초리 365 ,054-572-3762
5,이둔펜션,문경시 문경읍 활공장길 115,문경시 문경읍 고요리 72-1 ,054-572-3340
6,수피아펜션,문경시 문경읍 활공장길 123,문경시 문경읍 고요리 72-2 ,054-572-0586
7,문경가름펜션,문경시 문경읍 새재2길 10,문경시 문경읍 상초리 288-10 ,054-571-3311
8,문경 힐링펜션,문경시 문경읍 온천8길 23,문경시 문경읍 하리 398-3 ,054-572-4909
9,문경힐링휴양촌,문경시 문경읍 새재로 600,문경시 문경읍 진안리 97 ,054-572-4100
10,사우정,문경시 농암면 청화로 582-7,문경시 농암면 내서리 334 ,
11,SALUS(살루스),문경시 마성면 봉명길 227-19,문경시 마성면 외어리 533-8 ,
12,강이있는풍경,문경시 마성면 구랑로 333,문경시 마성면 신현리 468-1,054-572-3375
13,청화원,농암면 궁터길 179-126,농암면 궁기리 45-5,054-571-6608
14,쌍용계곡,농암면 청화로 223-3,농암면 내서리 687,054-533-0988
15,다락산장,농암면 다락갈골길 53-18,농암면 내서리 405-1,054-571-3339
16,다락골초록원,농암면 서재로 703,농암면 내서리 353,054-571-8288
17,쌍용쉼터,농암면 청화로 547,농암면 내서리 272,054-571-9911
18,13월의아침,마성면 진남1길 177-6,마성면 신현리 110-9,054-552-1050
19,동화원산장,문경읍 새재1길 48,문경읍 하초리 348-13,054-571-2554
20,문경새재초은펜션슈퍼,문경읍 새재로 882-1,문경읍 하초리 344-9,054-572-0178
21,옹달샘황토민박,문경읍 새재로 862,문경읍 하초리 345-10,054-572-3555
22,선유동민박,가은읍 학천정길 22 ,가은읍 완장리 403,054-571-4834
23,금부자민박,가은읍 대야로 1691,가은읍 완장리 49-1,054-571-9006
24,송원산장,동로면 여우목로 2471-5,동로면 적성리 1087,054-553-0665
25,황장산민박,동로면 안생달길 238,동로면 생달리 549-2,054-552-1779
26,반석위의집,농암면 청화로 579,농암면 내서리 303,
27,농암민박,농암면 청화로 581-6,농암면 내서리 311-1,
28,황토민박,문경읍 새재로 864 ,문경읍 하초리 345-13,
29,강변살자,마성면 구랑로 228-11,마성면 신현리 555-19,
30,문경의 비밀정원 연휴,동로면 여우목로 2371-5,동로면 생달리 18,
31,나실황토민박,마성면 하내1길 32-32,마성면 하내리 375-1,054-572-0874
32,쌍용민박,농암면 서재로 909-6,농암면 내서리 335-4,
33,화이트하우스,농암면 서재로 909-8,농암면 내서리 335-1,
34,숲속의맑은향기,문경읍 영산길 15,문경읍 팔영리 390,054-571-8559
35,힐하우스,농암면 청화로 581-4,농암면 내서리 311,
36,쌍용계곡도장산하우스,농암면 청화로 508,농암면 내서리 263-1,
37,해바라기,농암면 청화로 695,농암면 내서리 239-1,
38,가고픈주흘산자락,문경읍 주흘로 241-25,문경읍 요성리 183-5,
39,제니하우스,마성면 진남1길 177-9,마성면 신현리 114-18 (2동),
40,애플하우스민박,문경읍 새재로 848,문경읍 하초리 275-1,
41,사랑의집민박,문경읍 동우점길 52,문경읍 고요리 509-1,054-571-5638
42,호미인문경,마성면 구랑1길 33,마성면 하내리 335-6,
