캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자,전화번호,영업상태,폐업일자,휴업시작일자,휴업종료일자,우편번호,지역구분,총층수,주변환경,보험기관,건물용도,지상층수,지하층수,객실수
금관숲캠핑장,,,,충청북도 청주시 상당구 미원면 운암계원로 628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭추골캠핑장,,,,충청북도 청주시 상당구 낭성면 단재로 1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더오창호,,,,충청북도 청주시 청원구 오창읍 성산리 620-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멍글멍글 펫 글램핑,,,,충청북도 청주시 청원구 오창읍 백현리 193-21 외 1필지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벨루아야영장,,,,충청북도 청주시 청원구 오창읍 성산2길 196-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씨앗골 캠핑장,,,,충청북도 청주시 상당구 낭성면 호정대신로 69-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이프로방스,,,,충청북도 청주시 상당구 미원면 남부로 6774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥화자연휴양림 국민여가캠핑장,,,,충청북도 청주시 상당구 미원면 운암옥화길 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와우키즈랜드 야영장,,,,충청북도 청주시 청원구 내수읍 내수로 457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주시 문암생태공원 캠핑장,,,,충청북도 청주시 흥덕구 원평동 76-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주시 미래지농촌테마공원 오토캠핑장,,,,충청북도 청주시 청원구 오창읍 미래지로 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주시 현도오토캠핑장,,,,충청북도 청주시 서원구 현도면 중척리 652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주키즈캠핑장,,,,충청북도 청주시 상당구 낭성면 갈산1길 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
토마스캠프&레드캐빈,,,,충청북도 청주시 상당구 낭성면 관정리 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계명산나무숲길 캠핑장,,,,충청북도 충주시 절골길 132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노르딕민박,,,,충청북도 충주시 중앙탑면 반천안길 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다릿재캠핑장,,,,충청북도 충주시 산척면 밀목길 109-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대호레져글램핑,,,,충청북도 충주시 동량면 미라실로 691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밤별캠핑장,,,,충청북도 충주시 앙성면 모점1길 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉황자연휴양림 숲속야영장,,,,충청북도 충주시 중앙탑면 수룡봉황길 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소나무숲아래,,,,충청북도 충주시 수안보면 미륵리사지길 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소리의섬,,,,충청북도 충주시 앙성면 남한강변길 218-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
열린캠핑장,,,,충청북도 충주시 앙성면 와평2길 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요카카관광농원,,,,충청북도 충주시 금가면 강변길 11-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요카카오토캠핑장,,,,충청북도 충주시 금가면 강변길 11-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천등산캠핑장,,,,충청북도 충주시 산척면 명서리 512-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초원오토캠핑장,,,,충청북도 충주시 중앙탑면 감노로 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
